,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
103,UKE22,-0.07250170754063676,-0.09821739386329356,-0.05746520932058165,-0.033798317207593874,116,0.776,0.781,0.65,0.394,2
104,UKE31,-0.07510217098552831,-0.10089451527309479,-0.0640210796829277,-0.029375753492166465,120,0.767,1.0,0.01,0.008,1
105,UKE32,-0.07203570964909353,-0.09029523493868394,-0.061358556629188654,-0.02840170308237515,123,0.756,1.0,0.01,0.008,1
106,UKE41,-0.07166526748915619,-0.09923943967408982,-0.05500508589219971,-0.027536104671275798,117,0.744,1.0,0.01,0.007,1
107,UKE42,-0.0817935132184675,-0.10634407089604726,-0.06569137712758474,-0.03319735546490364,117,0.795,1.0,0.01,0.008,1
108,UKE44,-0.07166526748915619,-0.09923943967408982,-0.05500508589219971,-0.027536104671275798,117,0.744,1.0,0.01,0.007,1
109,UKE45,-0.0817935132184675,-0.10634407089604726,-0.06569137712758474,-0.03319735546490364,117,0.795,1.0,0.01,0.008,1
110,UKL17,-0.05801713903575685,-0.07238147104490625,-0.04999489538035054,-0.022874802783176426,124,0.702,0.995,0.01,0.007,1
111,UKL18,-0.06894995859532677,-0.09910830391974734,-0.0605610254504923,-0.02777261749953558,118,0.746,0.4,0.841,0.251,2
112,UKL21,-0.0741241439693878,-0.09947809033315547,-0.0640589485600408,-0.03091733463832247,120,0.8,0.377,0.84,0.253,2
113,UKL22,-0.06801877819422152,-0.09007755335539461,-0.05294276453999538,-0.02725564315386521,117,0.735,0.767,0.656,0.37,2
114,UKL23,-0.07064872163346528,-0.09314595894940526,-0.05285517730710805,-0.02771586175233926,120,0.75,0.85,0.648,0.413,3
115,UKL24,-0.06322138981478485,-0.08221460514266574,-0.046671388225868665,-0.026903867801007043,120,0.742,0.625,0.01,0.005,1
116,UKM50,-0.07047744859525693,-0.10356591195205914,-0.05839041542101467,-0.02873086817789304,115,0.765,0.533,0.01,0.004,1
117,UKM61,-0.05496232391243399,-0.07313810439293214,-0.03687616325689862,-0.017533045282929413,112,0.598,0.529,0.01,0.003,1
118,UKM62,-0.06026525849340754,-0.08738566145902663,-0.045309252384502896,-0.01707396577289678,113,0.602,0.5,0.033,0.01,1
119,UKM63,-0.05963659250974316,-0.07784032661259277,-0.03903125777965554,-0.021694104406714362,114,0.623,0.516,0.01,0.003,1
120,UKM64,-0.0497508318474941,-0.06848402937581893,-0.03539989870407278,-0.017317887539499907,113,0.575,0.543,0.843,0.263,2
121,UKM71,-0.07864842245075454,-0.11738083107328512,-0.06214018128393117,-0.028410822892172283,113,0.752,0.359,0.753,0.203,2
122,UKM72,-0.07308721269874535,-0.10582278777011242,-0.04990007665352606,-0.026877498083661844,116,0.741,1.0,0.753,0.558,3
123,UKM73,-0.06602592644548748,-0.09165385287585869,-0.049325646387194146,-0.022914530639524387,123,0.715,1.0,0.658,0.47,3
124,UKM75,-0.07014718761005291,-0.08932744573988716,-0.05639178319195363,-0.02969538805180049,116,0.75,0.288,0.839,0.181,1
125,UKM76,-0.0614917672233063,-0.08459159994040721,-0.04628794937642196,-0.020172920122922777,122,0.648,0.333,0.841,0.181,1
126,UKM77,-0.06634037529402727,-0.09132537139197112,-0.05308072435851425,-0.022416657086858215,111,0.676,0.079,0.558,0.03,1
127,UKM78,-0.06455543103746252,-0.08595590831133934,-0.04820427930534069,-0.021682491787716612,118,0.703,0.165,0.56,0.065,1
128,UKM81,-0.057918579195752565,-0.08336907845956311,-0.04507262618453414,-0.017644670274522583,120,0.617,0.28,0.842,0.145,1
129,UKM82,-0.05842751563226639,-0.07976939193899997,-0.04484626880883469,-0.01966229556398769,118,0.669,0.104,0.56,0.039,1
130,UKM83,-0.06080871683487347,-0.08536438755356604,-0.04264562898369266,-0.019162721639432355,113,0.646,0.174,0.56,0.063,1
