,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
25,ITF11,-0.038024541361367244,-0.054584442915311365,-0.026794559690869982,-0.013086165765535198,113,0.717,0.486,0.772,0.269,2
26,ITF12,-0.035143223514969055,-0.04999766786488372,-0.028408235931040693,-0.014513242368051097,118,0.737,1.0,1.0,0.737,4
27,ITF13,-0.03929664160234796,-0.05464658222869505,-0.029194980171584946,-0.013248721813092926,114,0.684,0.713,0.774,0.377,2
28,ITF14,-0.036944072782987565,-0.04654189834625018,-0.023421446625239907,-0.014621518645368342,120,0.742,0.095,0.624,0.044,1
29,ITF21,-0.042182153133813204,-0.06401461291234178,-0.030442527874273845,-0.011585157669405322,107,0.664,0.513,0.749,0.255,2
30,ITF22,-0.03885349104556289,-0.052745779822444314,-0.02264492920828616,-0.013640187841960444,120,0.708,0.441,0.899,0.281,2
31,ITF31,-0.044008009467103655,-0.06954934684265689,-0.028623001051170466,-0.012812711768594758,107,0.692,0.537,0.899,0.334,2
32,ITF32,-0.043071688539330265,-0.06669020896460572,-0.027455519419613265,-0.011117740924568038,112,0.67,0.502,0.53,0.178,1
33,ITF33,-0.04432472216661052,-0.07101093197883204,-0.027551211347463186,-0.011874446072161466,110,0.709,0.756,0.62,0.332,2
34,ITF34,-0.046273552397310534,-0.0630036234440766,-0.03219210269468535,-0.0157667003340924,111,0.757,0.33,0.876,0.219,2
35,ITF35,-0.041975269783442216,-0.05667605536839937,-0.023958548576134334,-0.011605657204802342,115,0.67,0.13,0.492,0.043,1
36,ITF43,-0.056427405814839855,-0.0768589976554566,-0.04371296559263034,-0.024196859515739806,104,0.827,0.314,0.951,0.247,2
37,ITF44,-0.05317117532926292,-0.06886102674246278,-0.03855712005187455,-0.020646933769593097,109,0.835,0.818,0.914,0.624,4
38,ITF45,-0.053206505414976284,-0.06854333671588479,-0.04026854725005048,-0.018007746072831177,108,0.796,0.432,0.51,0.175,1
39,ITF46,-0.04029305825955811,-0.04823032055676993,-0.024678420927247285,-0.013414758711217884,119,0.706,1.0,0.487,0.344,2
40,ITF47,-0.050152034797780354,-0.06779660267021823,-0.03711073988533449,-0.016999696740684297,109,0.761,0.684,0.891,0.464,3
41,ITF48,-0.05611260526371519,-0.07668528687652076,-0.03553751488491623,-0.020781813807312827,104,0.837,0.284,0.864,0.205,2
42,ITF51,-0.043442816797572906,-0.05699328807360459,-0.027845020280275676,-0.013532874589016882,115,0.739,1.0,0.446,0.33,2
43,ITF52,-0.04251029882965144,-0.055831543346969714,-0.029180103210942308,-0.014432338537059594,118,0.746,1.0,0.829,0.618,4
44,ITF61,-0.04354701720234609,-0.05282910810485986,-0.029556587396830314,-0.013329531511296486,115,0.73,0.962,0.816,0.573,3
45,ITF62,-0.048191706777038816,-0.05898964723194483,-0.03393032584877943,-0.01391152900934921,114,0.737,0.466,0.892,0.306,2
46,ITF63,-0.046941549023432255,-0.057365095154004085,-0.03093859924362246,-0.013816381332364448,114,0.711,0.655,0.488,0.227,2
47,ITF64,-0.04535785588838523,-0.05888977937050188,-0.031790842440136996,-0.01421794505851155,113,0.743,0.713,0.907,0.48,3
48,ITF65,-0.05155965426430244,-0.07057027395444054,-0.033376784509957645,-0.014598653718590544,110,0.745,0.739,0.348,0.192,1
49,ITG11,-0.04750997010008577,-0.06923864191942995,-0.038152306756309956,-0.011058641934155967,107,0.673,0.729,0.821,0.403,3
50,ITG12,-0.04900472141973154,-0.07167424377579207,-0.03724894636952875,-0.016684853080213967,107,0.794,0.24,0.796,0.152,1
