Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DE: Schwarzwald-Baar-Kreis,DE136,-0.028413657007398768,-0.03682878017076527,-0.021026035600536612,-0.01010049388765226,116,0.724,0.441,0.656,0.209,2
DE: Altötting,DE214,-0.023051876474314253,-0.03036896938813606,-0.016918801123294837,-0.010296184904406184,117,0.709,1.0,0.491,0.348,2
DE: Neumarkt i. d. OPf.,DE236,-0.023119933589253284,-0.030692217464947477,-0.017177792659436822,-0.010265363338942679,115,0.713,0.876,0.734,0.458,3
DE: Neustadt a. d. Waldnaab,DE237,-0.023792410428593654,-0.03311649659980839,-0.01636989484896808,-0.011008247315515972,118,0.737,0.566,0.447,0.186,1
DE: Tuttlingen,DE137,-0.021000646780204447,-0.029535103989132366,-0.015848040863947362,-0.007790834923643482,115,0.609,0.399,0.709,0.172,1
DE: Weilheim-Schongau,DE21N,-0.02240369990052,-0.032891633294823794,-0.016323287123856573,-0.009412334754620782,117,0.641,0.109,0.38,0.027,1
"DE: Landshut, Kreisfreie Stadt",DE221,-0.021683499780265642,-0.029384859263405023,-0.016327244789819485,-0.008246057424344201,118,0.653,1.0,0.573,0.374,2
"DE: Passau, Kreisfreie Stadt",DE222,-0.023239276550973072,-0.031589252532389644,-0.018637760790458452,-0.00839464423937582,116,0.681,0.283,0.393,0.076,1
"DE: Straubing, Kreisfreie Stadt",DE223,-0.02188489954807198,-0.029381333357923055,-0.01602814286521577,-0.009211749389159092,116,0.647,0.891,0.409,0.236,2
DE: Deggendorf,DE224,-0.025985202260494354,-0.033349172492768066,-0.018857929866761367,-0.01020565438924512,114,0.684,0.839,0.416,0.239,2
DE: Freyung-Grafenau,DE225,-0.024676695478642603,-0.034139797275544954,-0.017778373588549088,-0.009928472522250587,112,0.705,0.1,0.332,0.023,1
DE: Miltenberg,DE269,-0.022331377473105804,-0.031173429986546777,-0.01809022848399286,-0.009694807602296341,115,0.687,0.79,0.546,0.296,2
DE: Main-Spessart,DE26A,-0.0225242944757559,-0.03214286188283271,-0.016157008511210966,-0.00923370089353949,118,0.653,0.792,0.564,0.292,2
DE: Ebersberg,DE218,-0.018007669812729755,-0.024121832016829887,-0.01382597065992154,-0.005806226153892003,124,0.621,0.429,0.906,0.241,2
DE: Uelzen,DE93A,-0.022643102070436162,-0.03177604976057575,-0.017052007046397984,-0.008150331531375475,116,0.629,1.0,0.484,0.304,2
DE: Verden,DE93B,-0.024460860876260346,-0.0320256846207277,-0.018852334471201722,-0.009587332834783973,120,0.7,1.0,0.556,0.389,2
"DE: Delmenhorst, Kreisfreie Stadt",DE941,-0.023672035872171905,-0.032497627892746385,-0.01995187189112371,-0.009676880160259933,113,0.681,0.858,0.914,0.534,3
"DE: Emden, Kreisfreie Stadt",DE942,-0.025622400806530884,-0.034527182317045636,-0.020589091397958087,-0.009991854154484163,121,0.702,0.723,0.6,0.305,2
"DE: Oldenburg (Oldenburg), Kreisfreie Stadt",DE943,-0.02550764214706202,-0.034778394373747884,-0.019137061873347974,-0.010401433811920009,119,0.689,0.432,0.68,0.202,2
"DE: Stuttgart, Stadtkreis",DE111,-0.02443343992649079,-0.035369362931893404,-0.0177148475386398,-0.008953034137271991,124,0.661,0.812,1.0,0.537,3
DE: Berchtesgadener Land,DE215,-0.026528884584123776,-0.03566137784378128,-0.0198966296121667,-0.010468352691920747,120,0.692,0.086,0.536,0.032,1
DE: Bad Tölz-Wolfratshausen,DE216,-0.023704443251625292,-0.032158064017890314,-0.017799927148772682,-0.009075466876249577,120,0.675,0.088,0.448,0.027,1
DE: Dachau,DE217,-0.023263225844993605,-0.032701605268568315,-0.018494602232351293,-0.008796420401686142,123,0.683,1.0,0.948,0.647,4
