Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DE: Ortenaukreis,DE134,-0.08534178319904204,-0.1132357268981754,-0.0694231901118305,-0.029061212477928196,116,0.776,0.24,0.684,0.127,1
DE: Cham,DE235,-0.07340916948167799,-0.10114297172648885,-0.06310766968477013,-0.03375751312386563,125,0.792,0.199,0.476,0.075,1
DE: Stade,DE939,-0.09358034182203634,-0.1166058394160584,-0.05867490174059518,-0.03017967434025829,107,0.794,0.506,0.736,0.296,2
DE: Emmendingen,DE133,-0.08056859092311737,-0.10197235333782871,-0.05495616992582603,-0.025792312879298722,118,0.729,0.326,0.554,0.132,1
DE: Nordfriesland,DEF07,-0.07522251159839329,-0.09719372825145067,-0.05209262443459443,-0.024930019009423057,118,0.703,0.313,0.897,0.197,1
DE: Ilm-Kreis,DEG0F,-0.06950441462998848,-0.09141338358047428,-0.051222439030333064,-0.024720862377385546,117,0.701,0.687,0.932,0.449,3
DE: Odenwaldkreis,DE71B,-0.0711406083602896,-0.09527732626750685,-0.05310057669613235,-0.027053505822626986,116,0.741,0.77,0.391,0.223,2
"DE: Offenbach, Landkreis",DE71C,-0.08172621318037285,-0.10138853360546274,-0.05557957827832028,-0.026672808391829936,113,0.743,0.765,0.378,0.215,2
DE: Weimarer Land,DEG0G,-0.07424973211948448,-0.08723549301556288,-0.05012188279260199,-0.02758855994380997,119,0.748,1.0,0.931,0.696,4
DE: Sonneberg,DEG0H,-0.08668220148349812,-0.11329265057044308,-0.06526930220217565,-0.023879013000795972,115,0.704,0.738,0.807,0.419,3
DE: Alzey-Worms,DEB3B,-0.07818890893093831,-0.09893572615294902,-0.051555717845884697,-0.02541356527096984,116,0.716,0.061,0.793,0.035,1
DE: Bad Dürkheim,DEB3C,-0.08676414882454887,-0.10864165250359525,-0.06092299647012682,-0.026277944829389464,117,0.744,0.064,0.868,0.041,1
DE: Donnersbergkreis,DEB3D,-0.08142445636047657,-0.10879211105408329,-0.05410801411685304,-0.027517132463043492,111,0.748,0.029,0.867,0.019,1
"DE: Halle (Saale), Kreisfreie Stadt",DEE02,-0.08198911262902318,-0.10785192334206538,-0.05577002619605681,-0.028057355577002622,118,0.754,1.0,0.933,0.703,4
DE: Ostholstein,DEF08,-0.08275280283564555,-0.10875088495166761,-0.054316682395195805,-0.026980640772466057,116,0.741,0.546,0.88,0.356,2
DE: Börde,DEE07,-0.08200983386179007,-0.12356365151885798,-0.05789706474656598,-0.03101137218176711,109,0.771,0.79,0.929,0.566,3
DE: Burgenlandkreis,DEE08,-0.08853081558379573,-0.12980132450331128,-0.06225165562913909,-0.03137417218543047,111,0.784,1.0,0.928,0.728,4
"DE: Hamm, Kreisfreie Stadt",DEA54,-0.0905346468301836,-0.11767859536255194,-0.06627797882321404,-0.035048921056158686,110,0.809,1.0,0.693,0.561,3
"DE: Herne, Kreisfreie Stadt",DEA55,-0.08657153369563847,-0.12188114995232201,-0.05693359573129907,-0.025759297206273204,111,0.73,0.649,0.697,0.33,2
"DE: Kassel, Kreisfreie Stadt",DE731,-0.08614218064524047,-0.12016165326042229,-0.06107213479093811,-0.02886054371966643,106,0.764,0.742,0.371,0.21,2
DE: Reutlingen,DE141,-0.08425075151782065,-0.111098705708613,-0.06611490800531977,-0.02951459720583237,115,0.791,0.547,0.537,0.232,2
DE: Wittmund,DE94H,-0.07232371539754136,-0.09992703634916425,-0.05688511541522952,-0.032634651101087826,120,0.825,0.669,0.859,0.474,3
"DE: Düsseldorf, Kreisfreie Stadt",DEA11,-0.06518313262192701,-0.0933000384172109,-0.05071071840184402,-0.03323088743757203,121,0.802,0.564,0.695,0.314,2
DE: Rhein-Neckar-Kreis,DE128,-0.0662071267386935,-0.09587357330992098,-0.05443371378402107,-0.033362598770851626,121,0.793,0.5,0.53,0.21,2
"DE: Pforzheim, Stadtkreis",DE129,-0.0662071267386935,-0.09587357330992098,-0.05443371378402107,-0.033362598770851626,121,0.793,0.515,0.54,0.221,2
DE: Calw,DE12A,-0.07096686879680925,-0.09893337254969811,-0.058061846514068885,-0.037143808716413776,121,0.802,0.662,0.538,0.286,2
DE: Enzkreis,DE12B,-0.07035995044460297,-0.10523950185686012,-0.054773296135370915,-0.032378728470544,119,0.79,0.51,0.538,0.217,2
"DE: Gießen, Landkreis",DE721,-0.07197358754273855,-0.09995082348627993,-0.05759221918271807,-0.03383185510025663,118,0.797,0.488,0.369,0.144,1
DE: Lahn-Dill-Kreis,DE722,-0.07085354415114566,-0.09851936218678817,-0.05547367010585556,-0.03326410290767787,120,0.792,0.141,0.398,0.044,1
DE: Limburg-Weilburg,DE723,-0.0672793847566575,-0.0945277777777778,-0.05319444444444445,-0.029027777777777777,121,0.76,0.356,0.515,0.139,1
DE: Marburg-Biedenkopf,DE724,-0.07882356476437567,-0.11446837767867045,-0.06344147495432176,-0.0349032548290496,110,0.845,0.331,0.383,0.107,1
DE: Böblingen,DE112,-0.06661896658391095,-0.08892594455128859,-0.04979729816462154,-0.028596192573161816,118,0.754,0.777,0.539,0.316,2
"DE: Duisburg, Kreisfreie Stadt",DEA12,-0.06120824176364835,-0.08067581068316601,-0.051610080396998055,-0.0331119881647791,123,0.821,0.396,0.695,0.226,2
"DE: Essen, Kreisfreie Stadt",DEA13,-0.07843423126522424,-0.10828198882361369,-0.06354778621579021,-0.03592921622008883,120,0.8,0.417,0.696,0.232,2
DE: Fulda,DE732,-0.06815425288564922,-0.09116342329830768,-0.05128175698553255,-0.030436860689424493,117,0.778,0.536,0.394,0.164,1
DE: Hersfeld-Rotenburg,DE733,-0.07862022271026603,-0.09887593877369753,-0.05812748571484965,-0.032665870579991915,117,0.786,0.495,0.424,0.165,1
DE: Wolfenbüttel,DE91B,-0.0828217347549272,-0.1051316057947358,-0.06345643746174251,-0.038369720465211185,118,0.839,1.0,0.862,0.723,4
"DE: Bayreuth, Kreisfreie Stadt",DE242,-0.08642147313470841,-0.10656035141329256,-0.05634071810542397,-0.02889610389610388,120,0.758,0.785,0.458,0.273,2
"DE: Coburg, Kreisfreie Stadt",DE243,-0.10527924879397914,-0.14883763167453687,-0.06394841990555757,-0.03650563022157645,114,0.833,1.0,0.457,0.381,2
"DE: Hof, Kreisfreie Stadt",DE244,-0.09713723285244154,-0.12929831239690395,-0.06572769953051644,-0.03603603603603604,109,0.844,1.0,0.458,0.387,2
DE: Südwestpfalz,DEB3K,-0.09257309759623233,-0.11276027884263076,-0.06400163601815147,-0.03966965309409093,109,0.872,0.308,0.86,0.231,2
DE: Regionalverband Saarbrücken,DEC01,-0.09486458089196623,-0.1354688189588902,-0.06545667892020447,-0.03475167924105769,109,0.826,0.494,0.843,0.344,2
DE: Merzig-Wadern,DEC02,-0.0906344414454306,-0.12592572750650144,-0.06587874649503857,-0.0377151101974401,115,0.843,0.486,0.775,0.318,2
