FAO_Code,Crop,Clim,Kc_in,Kc_mid,Kc_end,lgp_f1,lgp_f2,lgp_f3,lgp_f4,Season start,Season End,RD1,RD2,DF,Type,Ky
1711,alfalfa,3,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,320,90,1,1,0.5,2,0.9
1711,alfalfa,4,1,1,1,0.259259259259259,0.0740740740740741,0.111111111111111,0.555555555555556,106,241,1,1,0.5,2,0.9
1711,alfalfa,5,1,1,1,0.259259259259259,0.0740740740740741,0.111111111111111,0.555555555555556,106,241,1,1,0.5,2,0.9
1711,alfalfa,7,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,106,241,1,1,0.5,2,0.9
1711,alfalfa,8,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,106,241,1,1,0.5,2,0.9
116,rye,2,0.3,1.15,0.25,0.148148148148148,0.185185185185185,0.444444444444444,0.222222222222222,166,301,0.2,0.6,0.6,1,1.15
116,rye,3,0.3,1.15,0.25,0.148148148148148,0.185185185185185,0.444444444444444,0.222222222222222,166,301,0.2,0.6,0.6,1,1.15
116,rye,4,0.3,1.15,0.25,0.2,0.3,0.3,0.2,320,155,0.2,0.6,0.6,1,1.15
116,rye,5,0.3,1.15,0.25,0.307692307692308,0.230769230769231,0.307692307692308,0.153846153846154,289,54,0.2,0.6,0.6,1,1.15
116,rye,7,0.3,1.15,0.25,0.477611940298507,0.223880597014925,0.223880597014925,0.0746268656716418,289,259,0.2,0.6,0.6,1,1.15
116,rye,8,0.3,1.15,0.25,0.477611940298507,0.223880597014925,0.223880597014925,0.0746268656716418,289,259,0.2,0.6,0.6,1,1.15
270,rapeseed,2,0.35,1.15,0.35,0.2,0.4,0.2,0.2,275,60,0.2,1.0,0.6,1,1
270,rapeseed,3,0.35,1.15,0.35,0.2,0.4,0.2,0.2,153,303,0.2,1.0,0.6,1,1
270,rapeseed,4,0.35,1.15,0.35,0.2,0.4,0.2,0.2,122,302,0.2,1.0,0.6,1,1
270,rapeseed,5,0.35,1.15,0.35,0.2,0.4,0.2,0.2,259,74,0.2,1.0,0.6,1,1
270,rapeseed,7,0.35,1.15,0.35,0.2,0.4,0.2,0.2,136,316,0.2,1.0,0.6,1,1
270,rapeseed,8,0.35,1.15,0.35,0.2,0.4,0.2,0.2,136,316,0.2,1.0,0.6,1,1
