"NUTS_ID","cropland","livestock","waterstress","population"
"PL21",0.0902718772946865,0.0638084164429866,0.0370911511443444,0.0295701725570885
"PL22",0.114170014862027,0.104706666228186,0.117011813773749,0.049671825991408
"PL41",0.216596090548362,0.134232362910698,0.0365594366875137,0.0153994357393132
"PL42",0.146448511824985,0.0568558130189279,0.0223455007986144,0.00983067282692976
"PL43",0.113346046172543,0.0479643017603883,0.0256081051869765,0.00940289216288295
"PL51",0.171559062480923,0.0561037019081613,0.0349463374632818,0.0192229065515605
"PL52",0.233736075711671,0.0723942466246045,0.0348749093590983,0.0134338172153325
"PL61",0.209529404207249,0.07686699543623,0.044570622224764,0.015262629512667
"PL62",0.0971171165087374,0.0331875303620083,0.0634899758932661,0.00762374557770921
"PL63",0.124167074208308,0.0528004974867036,0.0377974035905478,0.0167382160320286
"PL71",0.221658390569522,0.112746941060667,0.102195801856561,0.0180690931632682
"PL72",0.144160998003053,0.0632433530561183,0.0586226750745588,0.0139667015986014
"PL81",0.173982554350359,0.0531482891780405,0.0272028266439625,0.0110351968328476
"PL82",0.0870925271772687,0.050726048922681,0.02865826661148,0.0155256347672399
"PL84",0.103211403294279,0.0481574951769295,0.0813522893368884,0.00739996893993134
"PL91",0.170735610999725,0.0514364729164596,0.0089125255566812,0.0671392251886979
"PL92",0.198041130424165,0.10530434370898,0.0363739901153599,0.010406303177317
"PT11",0.0697647277089708,0.027675361857795,0.0478182315416235,0.0227457119545165
"PT15",0.0315593005966599,0.00503560194820461,0.0666576590242786,0.0116882341002476
"PT16",0.0570809876889485,0.0553041273061215,0.0725293963534029,0.01052819610195
"PT17",0.060043513578,0.0403315688642186,0.161532554514112,0.13474508720812
"PT18",0.0657986786478656,0.0264235031949917,0.152074098094449,0.00271718559539903
"PT20",0,0,0,0.0139617812472352
"PT30",0,0,0.0387913844517168,0.0435036370609484
"RO11",0.0850152486455454,0.0504679849104799,0.0259582074304475,0.00990348789191573
"RO12",0.0549614063639532,0.0535083047921234,0.0419286109471444,0.00899063859656218
"RO21",0.126422048825243,0.0725954009743301,0.0570555009609573,0.0117269880103063
"RO22",0.218808185600484,0.067040260471819,0.255455033389638,0.00906025009148254
"RO31",0.234929526802468,0.100649472631474,0.162649063619541,0.0115720106341951
"RO32",0.348392658960013,0.118014756464528,0.131346357751666,0.173018664842917
"RO41",0.16515255641282,0.0498844094208948,0.0638742843618642,0.00893515764236559
"RO42",0.104854685366399,0.0412667159982709,0.0221155141080909,0.00727406852136025
"RS11",0.507252772452216,0.0482665055199391,0.13170475127043,0.0709298194143695
"RS12",0.249029545813605,0.0642032328693031,0.0316609325637842,0.0113547705277107
"RS21",0.163158034525301,0.0487591763628185,0.0708353016369952,0.00943840018719979
"RS22",0.106800128536053,0.0223443124629307,0.1484866155499,0.0073534625037616
"SE11",0.0243171305025019,0.00142951154598136,0.0666448485702811,0.0427855136802835
"SE12",0.0355814781347476,0.00434947284679007,0.0624777094443639,0.00478384074224148
"SE21",0.0113343394852615,0.00562834352478457,0.0784404276458752,0.00276470508078421
"SE22",0.117879447756792,0.0325345999556148,0.0550486196409041,0.0135164995793
"SE23",0.0258517370347734,0.00876210755709505,0.0113091346114567,0.00737647070833846
"SE31",0.00322779843642906,0.00127300225206522,0.00742181148676934,0.0011719276019835
"SE32",0.00048705827229336,0.00062333251659556,0.00452474528078949,0.000233474304162446
"SE33",0.000404185724921513,0.000336797875743552,0.000771975075630971,0
"SI03",0.0522595090925191,0.0505579937949615,0.0119098731855763,0.0116071684544771
"SI04",0.0177230444880254,0.0105433625659185,0.016875544379243,0.0165330401894273
"SK01",0.199764143388599,0.0609927621859774,0.0106288541265615,0.0418914033396022
