Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
UK: Central Valleys,UKL15,0.764,0.166,0.895,0.114,1
UK: Staffordshire CC,UKG24,0.787,0.36,0.751,0.213,2
UK: Enfield,UKI54,0.812,1.0,0.109,0.089,1
UK: Bromley,UKI61,0.831,0.954,0.01,0.008,1
UK: Croydon,UKI62,0.844,0.941,0.01,0.008,1
UK: Devon CC,UKK43,0.829,0.338,0.662,0.185,1
UK: Central Hampshire,UKJ36,0.812,0.613,0.019,0.009,1
UK: North Hampshire,UKJ37,0.807,0.876,0.01,0.007,1
UK: Medway,UKJ41,0.806,0.623,0.01,0.005,1
"UK: Merton, Kingston upon Thames and Sutton",UKI63,0.747,1.0,0.01,0.007,1
UK: Barnet,UKI71,0.744,1.0,0.02,0.015,1
UK: Brent,UKI72,0.782,1.0,0.01,0.008,1
UK: Ealing,UKI73,0.772,1.0,0.01,0.008,1
UK: Harrow and Hillingdon,UKI74,0.749,1.0,0.092,0.069,1
UK: Hounslow and Richmond upon Thames,UKI75,0.726,1.0,0.01,0.007,1
UK: Kent Thames Gateway,UKJ43,0.703,0.728,0.086,0.044,1
"UK: Newry, Mourne and Down",UKN08,0.699,0.511,0.874,0.312,2
UK: Na h-Eileanan Siar (Western Isles),UKM64,0.707,0.02,0.587,0.008,1
UK: Sandwell,UKG37,0.771,0.249,0.754,0.145,1
UK: Perth & Kinross and Stirling,UKM77,0.774,0.117,0.556,0.05,1
